datetime,open,high,low,close,bearish_engulfing
2015-09-15,1.5845,1.592,1.5748,1.5775,0
2015-09-14,1.599,1.6073,1.5777,1.5861,0
2015-09-11,1.5936,1.6063,1.5906,1.599,0
2015-09-10,1.5953,1.6185,1.5765,1.5949,0
2015-09-09,1.5948,1.6003,1.5767,1.5965,0
2015-09-08,1.6124,1.6151,1.5859,1.596,1
2015-09-07,1.6102,1.6189,1.6031,1.6126,0
2015-09-04,1.5845,1.615,1.5827,1.6138,0
2015-09-03,1.5944,1.6068,1.5730000000000002,1.5851,0
2015-09-02,1.6103,1.6158,1.5918,1.5951,0
2015-09-01,1.5757,1.6147,1.5731,1.6119,0
2015-08-31,1.5574,1.5844,1.5555,1.5765,0
2015-08-28,1.5683,1.5814,1.5576,1.5585,0
2015-08-27,1.5883,1.6002,1.5632,1.5692,0
2015-08-26,1.6149,1.629,1.5837,1.5888,0
2015-08-25,1.6224,1.6257,1.5812,1.6157,0
2015-08-24,1.5571,1.6569,1.5525,1.6235,0
2015-08-21,1.5318,1.5585,1.5291,1.5556,0
2015-08-20,1.5121,1.5324,1.5098,1.5319999999999998,0
2015-08-19,1.5005,1.5148,1.4980000000000002,1.5131,0
2015-08-18,1.5015,1.5118,1.4992,1.5015,0
2015-08-17,1.506,1.5119,1.4982,1.5029,0
2015-08-14,1.5136,1.5161,1.5027,1.5068,1
2015-08-13,1.511,1.5208,1.5046,1.5148,0
2015-08-12,1.5109,1.5308,1.5066,1.5119,0
2015-08-11,1.4854,1.5187,1.4821,1.5115,0
2015-08-10,1.4777,1.4904,1.4771,1.4865,0
2015-08-07,1.4859,1.4889,1.4743,1.4786,0
2015-08-06,1.4821,1.4925,1.476,1.4872,0
2015-08-05,1.4738,1.4842,1.4711,1.4826,0
2015-08-04,1.5023,1.5072,1.4717,1.4746,0
2015-08-03,1.5009,1.5101,1.4973,1.5029,0
2015-07-31,1.4986,1.5185,1.4967,1.5042,0
2015-07-30,1.5051,1.5091,1.4951,1.4992,0
2015-07-29,1.5065,1.5154,1.5036,1.5059,0
2015-07-28,1.5254,1.5284,1.5039,1.5073,0
2015-07-27,1.507,1.5274,1.5053,1.5258,0
2015-07-24,1.4918,1.5112,1.4914,1.5083,0
2015-07-23,1.4812,1.4958,1.4775,1.4929,0
2015-07-22,1.4733,1.4828,1.4702,1.4825,0
2015-07-21,1.4678,1.4759,1.4648,1.4741,0
2015-07-20,1.4666,1.4777,1.4651,1.4687,0
2015-07-17,1.4675,1.4744,1.4649,1.4688,0
2015-07-16,1.4831,1.4872,1.4638,1.4688,0
2015-07-15,1.4765,1.4914,1.4684,1.4838,0
2015-07-14,1.4848,1.4891,1.4751,1.4777,0
2015-07-13,1.4889,1.5019999999999998,1.4826,1.4856,0
2015-07-10,1.4808,1.5091,1.4788,1.4995,0
2015-07-09,1.4904,1.4981,1.4769,1.4823,0
2015-07-08,1.4765,1.495,1.4743,1.4913,0
2015-07-07,1.4734,1.4815,1.4697,1.4777,0
2015-07-06,1.4621,1.4792,1.4609,1.4742,0
2015-07-03,1.4515,1.4801,1.4493,1.4799,0
2015-07-02,1.4457,1.4602,1.4426,1.4524,0
2015-07-01,1.4441,1.4495,1.4377,1.4461,0
2015-06-30,1.4618,1.4653,1.4424,1.4448,0
2015-06-29,1.4417,1.466,1.4312,1.4632,0
2015-06-26,1.4475,1.4649,1.4455,1.4586,0
2015-06-25,1.4536,1.4556,1.4397,1.4482,0
2015-06-24,1.443,1.456,1.4396,1.4545,0
2015-06-23,1.4667,1.47,1.4407,1.4439,1
2015-06-22,1.463,1.4738,1.4557,1.4674,0
2015-06-19,1.4561,1.4644,1.4541,1.461,0
2015-06-18,1.4625,1.4741,1.4515,1.4567,0
2015-06-17,1.4501,1.4732,1.4484,1.4633,0
2015-06-16,1.4521,1.4633,1.4438,1.4509999999999998,0
2015-06-15,1.4504,1.4588,1.4418,1.453,0
2015-06-12,1.4511,1.4611,1.4478,1.4577,0
2015-06-11,1.4589,1.4676,1.4495,1.4517,0
2015-06-10,1.4665,1.4774,1.4532,1.4596,1
2015-06-09,1.4656,1.4759,1.4579,1.4672,0
2015-06-08,1.4564,1.4706,1.4515,1.4661,0
2015-06-05,1.4609,1.4687,1.4487,1.4566,0
2015-06-04,1.4465,1.4718,1.4462,1.4615,0
2015-06-03,1.4340000000000002,1.4491,1.4269,1.4477,0
2015-06-02,1.4358,1.4451,1.4192,1.4351,0
2015-06-01,1.4357,1.4394,1.4232,1.4368,0
2015-05-29,1.4308,1.4391,1.4269,1.4381,0
2015-05-28,1.4103,1.4322,1.4056,1.4315,0
2015-05-27,1.4049,1.4146,1.4021,1.4111,0
2015-05-26,1.402,1.4093,1.394,1.4055,0
2015-05-25,1.4051,1.4084,1.399,1.4029,0
2015-05-22,1.4071,1.4204,1.404,1.4072,0
2015-05-21,1.4083,1.4171,1.4034,1.4076,0
2015-05-20,1.4085,1.4122,1.4006,1.4089,0
2015-05-19,1.4153,1.4207,1.3987,1.4088,0
2015-05-18,1.4254,1.4287,1.4132,1.4164,0
2015-05-15,1.4108,1.4266,1.4085,1.4255,0
2015-05-14,1.3995,1.4146,1.3907,1.4121,0
2015-05-13,1.4057,1.4132,1.3915,1.4,0
2015-05-12,1.4132,1.4179,1.4015,1.4061,0
2015-05-11,1.4083,1.4165,1.4069,1.4138,0
2015-05-08,1.4241,1.4305,1.4102,1.4123,0
2015-05-07,1.4237,1.4359,1.4153,1.4248,0
2015-05-06,1.4077,1.4266,1.4004,1.4247,0
2015-05-05,1.4216,1.4284,1.4046,1.4084,0
2015-05-04,1.4280000000000002,1.4351,1.4181,1.4222,0
2015-05-01,1.4191,1.4361,1.4159,1.4266,0
2015-04-30,1.3893,1.4237,1.3852,1.4199,0
2015-04-29,1.3679,1.3901,1.3666,1.39,0
2015-04-28,1.3856,1.3877,1.3669,1.3685,0
2015-04-27,1.3891,1.3927,1.3807,1.3856,0
2015-04-24,1.3911,1.399,1.3849,1.3909,0
2015-04-23,1.3826,1.3956,1.3786,1.3919,0
2015-04-22,1.3917,1.3941,1.3769999999999998,1.3832,0
2015-04-21,1.3892,1.3969,1.3795,1.3925,0
2015-04-20,1.3803,1.3947,1.3769,1.3901,0
2015-04-17,1.3783,1.3916,1.3777,1.3898,0
2015-04-16,1.3905,1.3937,1.3695,1.3791,0
2015-04-15,1.3964,1.4023,1.3871,1.3913,0
2015-04-14,1.392,1.4023,1.3865,1.3971,0
2015-04-13,1.3805,1.399,1.3784,1.3924,0
2015-04-10,1.3847,1.3901,1.3775,1.3799,0
2015-04-09,1.4027,1.4055,1.3822,1.3855,0
2015-04-08,1.4161,1.4183,1.3988,1.4032,0
2015-04-07,1.4380000000000002,1.4436,1.4116,1.4167,1
2015-04-06,1.4381,1.445,1.4340000000000002,1.439,0
2015-04-03,1.4328,1.4435,1.4286,1.4385,0
2015-04-02,1.4153,1.4401,1.4148,1.4336,0
2015-04-01,1.4108,1.4183,1.4054,1.4164,0
2015-03-31,1.4145,1.4184,1.4032,1.4108,0
2015-03-30,1.4048,1.4186,1.401,1.4152,0
2015-03-27,1.3897,1.4118,1.3859,1.4047,0
2015-03-26,1.3976,1.4074,1.3887,1.3904,0
2015-03-25,1.3863,1.4008,1.3832,1.3985,0
2015-03-24,1.3886,1.396,1.3824,1.3872,0
2015-03-23,1.3923,1.3964,1.381,1.3889,0
2015-03-20,1.3926,1.4028,1.3872,1.392,0
2015-03-19,1.3978,1.4007,1.3858,1.3938,0
2015-03-18,1.3909,1.405,1.3816,1.3983,0
2015-03-17,1.3824,1.3952,1.3802,1.3912,0
2015-03-16,1.3735,1.3859,1.3711,1.3832,0
2015-03-13,1.3796,1.3868,1.3716,1.3742,0
2015-03-12,1.3882,1.3896,1.3743,1.3798,0
2015-03-11,1.4021,1.408,1.3855,1.3886,0
2015-03-10,1.4089,1.4144,1.3999,1.4029,0
2015-03-09,1.4052,1.4106,1.4003,1.4091,0
2015-03-06,1.4168,1.4194,1.3942,1.4051,0
2015-03-05,1.4161,1.4253,1.4103,1.4173,0
2015-03-04,1.4291,1.4346,1.4137,1.4173,0
2015-03-03,1.4394,1.4429,1.426,1.43,0
2015-03-02,1.4278,1.4447,1.4245,1.4401,0
2015-02-27,1.4346,1.4411,1.4303,1.4332,0
2015-02-26,1.4397,1.4505,1.4304,1.4356,0
2015-02-25,1.4469,1.4503,1.4352,1.4407,0
2015-02-24,1.452,1.4625,1.4455,1.4481,0
2015-02-23,1.4501,1.4574,1.4486,1.4526,0
2015-02-20,1.4584,1.4599,1.4376,1.4509,0
2015-02-19,1.4586,1.473,1.4556,1.4587,0
2015-02-18,1.4587,1.4619,1.4532,1.4591,0
2015-02-17,1.4595,1.4643,1.4525,1.4598,0
2015-02-16,1.4644,1.4713,1.4569,1.4607,0
2015-02-13,1.4734,1.4785,1.4636,1.4656,1
2015-02-12,1.4678,1.4809,1.4631,1.4741,0
2015-02-11,1.4564,1.4706,1.4526,1.4683,0
2015-02-10,1.45,1.4599,1.4452,1.4569,0
2015-02-09,1.456,1.4621,1.4414,1.4513,0
2015-02-06,1.4708,1.4738,1.4466,1.4512,0
2015-02-05,1.4625,1.4734,1.4537,1.4718,0
2015-02-04,1.4732,1.4782,1.4580000000000002,1.4636,0
2015-02-03,1.4529,1.4901,1.4482,1.4732,0
2015-02-02,1.4518,1.4636,1.4471,1.4535,0
2015-01-30,1.4581,1.4677,1.4468,1.4531,0
2015-01-29,1.4302,1.4638,1.4265,1.4587,0
2015-01-28,1.4329,1.4375,1.4158,1.4309,0
2015-01-27,1.4176,1.4366,1.414,1.4340000000000002,0
2015-01-26,1.4135,1.4263,1.4102,1.4182,0
2015-01-23,1.4155,1.4251,1.3955,1.4173,0
2015-01-22,1.4355,1.4409999999999998,1.4052,1.4163,0
2015-01-21,1.4132,1.4365,1.4057,1.436,0
2015-01-20,1.4131,1.4194,1.4081,1.4137,0
2015-01-19,1.4031,1.4167,1.4024,1.4134,0
2015-01-16,1.4141,1.4177,1.3997,1.4062,0
2015-01-15,1.446,1.4494,1.4062,1.4162,0
2015-01-14,1.4414,1.462,1.4377,1.4465,0
2015-01-13,1.4505,1.455,1.4399,1.4417,0
2015-01-12,1.4421,1.4538,1.436,1.4507,0
2015-01-09,1.4513,1.4568,1.4387,1.4433,0
2015-01-08,1.4646,1.4663,1.4495,1.4518,0
2015-01-07,1.4704,1.4738,1.463,1.4653,0
2015-01-06,1.476,1.4767,1.4597,1.4705,0
2015-01-05,1.4844,1.4871,1.4705,1.4764,0
2015-01-02,1.4783,1.4859,1.4758,1.4837,0
2015-01-01,1.4804,1.4837,1.4778,1.4793,0
2014-12-31,1.4851,1.4877,1.476,1.4808,0
2014-12-30,1.4937,1.496,1.4826,1.4857,0
2014-12-29,1.5001,1.5021,1.491,1.4943,0
2014-12-26,1.505,1.5069,1.4962,1.5,0
2014-12-25,1.5038,1.5095,1.5003,1.506,0
2014-12-24,1.5013,1.5065,1.4981,1.5042,0
2014-12-23,1.5007,1.513,1.4957,1.5021,0
2014-12-22,1.5009,1.5078,1.4957,1.5052,0
2014-12-19,1.5042,1.5079,1.4982,1.5016,0
2014-12-18,1.5183,1.5202,1.4969,1.5046,0
2014-12-17,1.5219999999999998,1.5341,1.5121,1.5193,0
2014-12-16,1.5134,1.5246,1.5093,1.5225,0
2014-12-15,1.5104,1.5194,1.5018,1.5149,0
